,accuracy,loss,val_accuracy,val_loss
0,0.7903414368629456,0.46511244773864746,0.873449981212616,0.3196052610874176
1,0.8637121915817261,0.33533066511154175,0.8737820982933044,0.3223150372505188
2,0.89182049036026,0.27607589960098267,0.9091009497642517,0.24065358936786652
3,0.9202346801757812,0.21408410370349884,0.9293622970581055,0.1955171823501587
4,0.9338022470474243,0.18240085244178772,0.9319087862968445,0.19177080690860748
5,0.9442837834358215,0.15779045224189758,0.9327945113182068,0.17998923361301422
6,0.9553769826889038,0.1297374665737152,0.946302056312561,0.16014237701892853
7,0.9623832106590271,0.11438643932342529,0.948959231376648,0.14215007424354553
8,0.9671374559402466,0.0972093939781189,0.9571523666381836,0.12913353741168976
9,0.9714190363883972,0.08389973640441895,0.9609167575836182,0.1216907724738121
10,0.9763678908348083,0.07194291055202484,0.965566873550415,0.107837975025177
11,0.9775077700614929,0.06680217385292053,0.9687776565551758,0.09825238585472107
12,0.9817059636116028,0.05490840971469879,0.9709920287132263,0.09438800066709518
13,0.982818067073822,0.05474959686398506,0.9723206162452698,0.0918830931186676
14,0.982818067073822,0.05102379247546196,0.9663419127464294,0.10398684442043304
15,0.9830126762390137,0.05128658562898636,0.9738706946372986,0.08922343701124191
16,0.9825678467750549,0.05169592797756195,0.9750885963439941,0.0901910737156868
17,0.9847086071968079,0.04591790586709976,0.971656322479248,0.09178932011127472
18,0.9840413928031921,0.04749242588877678,0.9755314588546753,0.08100208640098572
19,0.9853758811950684,0.043944455683231354,0.9784101247787476,0.07400745153427124
